chunk_id,source_id,category,culture_region,norm_type,title,norm_statement,latent_variables,acceptable_when,unacceptable_when,ambiguity_factors,keywords,retrieval_text
RAG_SAC001,SAC001,family,US,adult independence,US: Adult Independence,Adult autonomy and privacy are commonly respected; informing parents is kind but not always expected.,actor; family member; age/status difference; public/private setting; autonomy vs obligation; tone,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",adult; adult independence; always; autonomy; elders; expected; family; independence; informing; kind; marriage; norm; parents; privacy; relatives; respected; support; us,"Culture or social context: US. Norm domain: Adult Independence. Situation category: family. Norm: Adult autonomy and privacy are commonly respected; informing parents is kind but not always expected. Relevant latent variables: actor, family member, age/status difference, public/private setting, autonomy vs obligation, tone. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC002,SAC002,family,China,family-involvement,China: Family Involvement,"Major life decisions are often shared with family, but expectations vary by age, distance, and family relationship.",actor; family member; age/status difference; public/private setting; autonomy vs obligation; tone,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",china; decisions; distance; elders; expectations; family; family involvement; life; major; marriage; norm; often; parents; relationship; relatives; shared; support; vary,"Culture or social context: China. Norm domain: Family Involvement. Situation category: family. Norm: Major life decisions are often shared with family, but expectations vary by age, distance, and family relationship. Relevant latent variables: actor, family member, age/status difference, public/private setting, autonomy vs obligation, tone. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC003,SAC003,family,US,personal-boundary,US: Personal Boundary,"Personal time and emotional boundaries are generally accepted, especially if communicated respectfully.",actor; family member; age/status difference; public/private setting; autonomy vs obligation; tone,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",accepted; boundaries; communicated; elders; emotional; especially; family; marriage; norm; parents; personal; personal boundary; relatives; respectfully; support; time; us,"Culture or social context: US. Norm domain: Personal Boundary. Situation category: family. Norm: Personal time and emotional boundaries are generally accepted, especially if communicated respectfully. Relevant latent variables: actor, family member, age/status difference, public/private setting, autonomy vs obligation, tone. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC004,SAC004,family,Italy,family-gathering,Italy: Family Gathering,"Family gatherings can be socially important, but acceptability depends on frequency, explanation, and relationship closeness.",actor; family member; age/status difference; public/private setting; autonomy vs obligation; tone,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",closeness; elders; explanation; family; family gathering; frequency; gatherings; italy; marriage; norm; parents; relationship; relatives; socially; support,"Culture or social context: Italy. Norm domain: Family Gathering. Situation category: family. Norm: Family gatherings can be socially important, but acceptability depends on frequency, explanation, and relationship closeness. Relevant latent variables: actor, family member, age/status difference, public/private setting, autonomy vs obligation, tone. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC005,SAC005,family,US,financial-independence,US: Financial Independence,"Individual financial responsibility is emphasized, but emergencies or close family obligations may change expectations.",actor; family member; age/status difference; public/private setting; autonomy vs obligation; tone,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",change; close; elders; emergencies; emphasized; expectations; family; financial; financial independence; individual; marriage; norm; obligations; parents; relatives; responsibility; support; us,"Culture or social context: US. Norm domain: Financial Independence. Situation category: family. Norm: Individual financial responsibility is emphasized, but emergencies or close family obligations may change expectations. Relevant latent variables: actor, family member, age/status difference, public/private setting, autonomy vs obligation, tone. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC006,SAC006,family,India,extended-family,India: Extended Family,"Family support may be expected, but obligation depends on resources, relationship, and circumstances.",actor; family member; age/status difference; public/private setting; autonomy vs obligation; tone,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",circumstances; elders; expected; extended family; family; india; marriage; norm; obligation; parents; relationship; relatives; resources; support,"Culture or social context: India. Norm domain: Extended Family. Situation category: family. Norm: Family support may be expected, but obligation depends on resources, relationship, and circumstances. Relevant latent variables: actor, family member, age/status difference, public/private setting, autonomy vs obligation, tone. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC007,SAC007,family,Korea,elder-respect,Korea: Elder Respect,Public criticism of parents can be seen as disrespectful because elder respect and family reputation are important.,actor; family member; age/status difference; public/private setting; autonomy vs obligation; tone,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",because; criticism; disrespectful; elder; elder respect; elders; family; korea; marriage; norm; parents; public; relatives; reputation; respect; seen; support,"Culture or social context: Korea. Norm domain: Elder Respect. Situation category: family. Norm: Public criticism of parents can be seen as disrespectful because elder respect and family reputation are important. Relevant latent variables: actor, family member, age/status difference, public/private setting, autonomy vs obligation, tone. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC008,SAC008,family,US,individual-expression,US: Individual Expression,"Open disagreement is allowed, but public criticism may still be viewed as hurtful depending on tone.",actor; family member; age/status difference; public/private setting; autonomy vs obligation; tone,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",allowed; criticism; disagreement; elders; family; hurtful; individual expression; marriage; norm; open; parents; public; relatives; still; support; tone; us; viewed,"Culture or social context: US. Norm domain: Individual Expression. Situation category: family. Norm: Open disagreement is allowed, but public criticism may still be viewed as hurtful depending on tone. Relevant latent variables: actor, family member, age/status difference, public/private setting, autonomy vs obligation, tone. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC009,SAC009,family,US,personal-boundary,US: Personal Boundary,Directly setting boundaries around personal life decisions is generally acceptable when done respectfully.,actor; family member; age/status difference; public/private setting; autonomy vs obligation; tone,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",around; boundaries; decisions; directly; done; elders; family; life; marriage; norm; parents; personal; personal boundary; relatives; respectfully; setting; support; us,"Culture or social context: US. Norm domain: Personal Boundary. Situation category: family. Norm: Directly setting boundaries around personal life decisions is generally acceptable when done respectfully. Relevant latent variables: actor, family member, age/status difference, public/private setting, autonomy vs obligation, tone. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC010,SAC010,family,China,family-advice,China: Family Advice,"Marriage advice from relatives may be common, but younger adults may still set boundaries depending on tone and relationship.",actor; family member; age/status difference; public/private setting; autonomy vs obligation; tone,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",adults; advice; boundaries; china; common; elders; family; family advice; from; marriage; norm; parents; relationship; relatives; still; support; tone; younger,"Culture or social context: China. Norm domain: Family Advice. Situation category: family. Norm: Marriage advice from relatives may be common, but younger adults may still set boundaries depending on tone and relationship. Relevant latent variables: actor, family member, age/status difference, public/private setting, autonomy vs obligation, tone. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC011,SAC011,relationship,US,workplace-privacy,US: Workplace Privacy,Relationship status is usually considered private in professional settings.,actor; partner/friend; privacy; trust; consent; public/private setting; closeness,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",considered; dating; family introduction; jealousy; norm; partner; privacy; private; professional; relationship; settings; status; trust; us; workplace privacy,"Culture or social context: US. Norm domain: Workplace Privacy. Situation category: relationship. Norm: Relationship status is usually considered private in professional settings. Relevant latent variables: actor, partner/friend, privacy, trust, consent, public/private setting, closeness. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
