setup_id,setup_name,correct,total,accuracy,acceptable_correct,acceptable_total,acceptable_accuracy,context-dependent_correct,context-dependent_total,context-dependent_accuracy,not acceptable_correct,not acceptable_total,not acceptable_accuracy,acceptable_not_acceptable_correct,acceptable_not_acceptable_total,acceptable_not_acceptable_accuracy,prediction_distribution
deberta_label,DeBERTa existing prediction,50,120,0.4166666666666667,5,23,0.21739130434782608,13,47,0.2765957446808511,32,50,0.64,37,73,0.5068493150684932,"{""context-dependent"": 34, ""not acceptable"": 72, ""acceptable"": 14}"
gpt_label,GPT-4o mini scenario-only existing prediction,69,120,0.575,17,23,0.7391304347826086,13,47,0.2765957446808511,39,50,0.78,56,73,0.7671232876712328,"{""not acceptable"": 60, ""context-dependent"": 26, ""acceptable"": 34}"
gpt_scenario_rag_v1,GPT-4o mini scenario + RAG v1,65,120,0.5416666666666666,15,23,0.6521739130434783,7,47,0.14893617021276595,43,50,0.86,58,73,0.7945205479452054,"{""acceptable"": 35, ""not acceptable"": 73, ""context-dependent"": 12}"
gpt_scenario_context_rag_v1,GPT-4o mini scenario + context + RAG v1,83,120,0.6916666666666667,22,23,0.9565217391304348,11,47,0.23404255319148937,50,50,1.0,72,73,0.9863013698630136,"{""acceptable"": 34, ""not acceptable"": 75, ""context-dependent"": 11}"
gpt_scenario_context_rag_v2,GPT-4o mini scenario + context + RAG v2,88,120,0.7333333333333333,22,23,0.9565217391304348,16,47,0.3404255319148936,50,50,1.0,72,73,0.9863013698630136,"{""acceptable"": 33, ""not acceptable"": 71, ""context-dependent"": 16}"
gpt_scenario_context_rag_v2_decomposition,GPT-4o mini scenario + context + RAG v2 + decomposition,81,120,0.675,9,23,0.391304347826087,47,47,1.0,25,50,0.5,34,73,0.4657534246575342,"{""context-dependent"": 85, ""acceptable"": 9, ""not acceptable"": 26}"
gpt_scenario_context_rag_v2_decomposition_strict,GPT-4o mini scenario + context + RAG v2 + strict decomposition,84,120,0.7,10,23,0.43478260869565216,44,47,0.9361702127659575,30,50,0.6,40,73,0.547945205479452,"{""acceptable"": 10, ""context-dependent"": 75, ""not acceptable"": 35}"
gpt_scenario_context_rag_v2_rating,GPT-4o mini scenario + context + RAG v2 + 1-10 rating,105,120,0.875,20,23,0.8695652173913043,46,47,0.9787234042553191,39,50,0.78,59,73,0.8082191780821918,"{""acceptable"": 20, ""not acceptable"": 41, ""context-dependent"": 59}"
gpt_scenario_no_rag_rating,GPT-4o mini scenario-only + 1-10 rating,45,120,0.375,0,23,0.0,44,47,0.9361702127659575,1,50,0.02,1,73,0.0136986301369863,"{""context-dependent"": 115, ""acceptable"": 1, ""not acceptable"": 4}"
gpt_scenario_context_no_rag_rating,GPT-4o mini scenario + context + 1-10 rating,100,120,0.8333333333333334,15,23,0.6521739130434783,47,47,1.0,38,50,0.76,53,73,0.726027397260274,"{""context-dependent"": 66, ""not acceptable"": 39, ""acceptable"": 15}"
gpt_scenario_rag_v1_rating,GPT-4o mini scenario + RAG v1 + 1-10 rating,64,120,0.5333333333333333,12,23,0.5217391304347826,35,47,0.7446808510638298,17,50,0.34,29,73,0.3972602739726027,"{""context-dependent"": 77, ""not acceptable"": 23, ""acceptable"": 20}"
gpt_scenario_context_rag_v1_rating,GPT-4o mini scenario + context + RAG v1 + 1-10 rating,113,120,0.9416666666666667,22,23,0.9565217391304348,45,47,0.9574468085106383,46,50,0.92,68,73,0.9315068493150684,"{""acceptable"": 23, ""context-dependent"": 49, ""not acceptable"": 48}"
