chunk_id,chunk_type,source_id,category,culture_region,norm_type,scenario_pattern,condition_family,norm_statement,orientation,latent_variables,acceptable_if,not_acceptable_if,context_dependent_if,cultures_compared,source_ids,retrieval_text
PROFILE_BRAZIL,country_profile,,,Brazil,,,,,"relational warmth, trust, expressiveness, flexible time, and closeness",trust; warmth; relationship closeness; emotional expression; flexibility,,,,,,"Country/cultural context profile: Brazil. General orientation: relational warmth, trust, expressiveness, flexible time, and closeness. Common domains in this corpus: communication, privacy, relationship, social etiquette. Relevant social variables: trust, warmth, relationship closeness, emotional expression, flexibility. Ambiguity triggers: whether closeness has been established, whether expressiveness becomes disrespectful, whether timing was agreed. Observed norm types: expressive-conflict, flexible-time, relational-closeness, relationship-trust."
PROFILE_CHINA,country_profile,,,China,,,,,"family involvement, role obligations, hierarchy, reciprocity, and preserving face",family duty; status hierarchy; face-saving; reciprocity; public image,,,,,,"Country/cultural context profile: China. General orientation: family involvement, role obligations, hierarchy, reciprocity, and preserving face. Common domains in this corpus: authority, family, morality loyalty, privacy, relationship, social etiquette, workplace. Relevant social variables: family duty, status hierarchy, face-saving, reciprocity, public image. Ambiguity triggers: age and role of each person, whether the issue affects family reputation, whether disagreement is public. Observed norm types: authority-and-face, casual-observation, family-advice, family-awareness, family-introduction, family-involvement, group-harmony, hierarchy, host-generosity, mobile-social, reciprocity, relational-duty, social-role."
PROFILE_FINLAND,country_profile,,,Finland,,,,,"reserved communication, privacy, personal space, and low-pressure interaction",reservedness; privacy; silence; personal space; directness,,,,,,"Country/cultural context profile: Finland. General orientation: reserved communication, privacy, personal space, and low-pressure interaction. Common domains in this corpus: communication. Relevant social variables: reservedness, privacy, silence, personal space, directness. Ambiguity triggers: whether silence means discomfort, whether directness is necessary, relationship closeness. Observed norm types: reserved-communication."
PROFILE_FRANCE,country_profile,,,France,,,,,"personal boundaries, hosting customs, privacy, and respect for social form",boundary; host/guest role; privacy; politeness; social occasion,,,,,,"Country/cultural context profile: France. General orientation: personal boundaries, hosting customs, privacy, and respect for social form. Common domains in this corpus: social etiquette, workplace. Relevant social variables: boundary, host/guest role, privacy, politeness, social occasion. Ambiguity triggers: whether the host invited informality, whether refusal is polite, whether norms were explicit. Observed norm types: boundary, hosting."
PROFILE_GERMANY,country_profile,,,Germany,,,,,"directness, punctuality, rule consistency, privacy, and clear agreements",rules; directness; punctuality; privacy; prior agreement,,,,,,"Country/cultural context profile: Germany. General orientation: directness, punctuality, rule consistency, privacy, and clear agreements. Common domains in this corpus: care harm, commitment, friendship, morality fairness, privacy, relationship, social etiquette, workplace. Relevant social variables: rules, directness, punctuality, privacy, prior agreement. Ambiguity triggers: whether there is an explicit rule, whether directness is constructive, whether expectations were agreed. Observed norm types: agreement, direct-communication, direct-feedback, directness, fairness-and-precision, modesty, privacy, privacy-respect, punctuality, rule-and-contract, structure, work-life-boundary."
PROFILE_INDIA,country_profile,,,India,,,,,"family and community ties, social obligation, respect, and relational continuity",family obligation; community relationship; elder/status respect; resources; public reputation,,,,,,"Country/cultural context profile: India. General orientation: family and community ties, social obligation, respect, and relational continuity. Common domains in this corpus: care harm, fairness, family, morality loyalty, relationship. Relevant social variables: family obligation, community relationship, elder/status respect, resources, public reputation. Ambiguity triggers: relationship closeness, available resources, whether refusal is respectful, community expectations. Observed norm types: community, extended-family, marriage-salience, relational-continuity, social-obligation."
PROFILE_ITALY,country_profile,,,Italy,,,,,"family connection, expressive discussion, social warmth, and workplace or family presence",family closeness; frequency; tone; relationship closeness; social expectation,,,,,,"Country/cultural context profile: Italy. General orientation: family connection, expressive discussion, social warmth, and workplace or family presence. Common domains in this corpus: family, workplace. Relevant social variables: family closeness, frequency, tone, relationship closeness, social expectation. Ambiguity triggers: whether absence is explained, whether discussion is affectionate or hostile, how often it occurs. Observed norm types: expressive-discussion, family-gathering."
PROFILE_JAPAN,country_profile,,,Japan,,,,,"hierarchy, role formality, group harmony, indirectness, and reliability",seniority; role; honorifics; public/private setting; group harmony,,,,,,"Country/cultural context profile: Japan. General orientation: hierarchy, role formality, group harmony, indirectness, and reliability. Common domains in this corpus: authority, commitment, communication, fairness, friendship, morality fairness, relationship, social etiquette, workplace. Relevant social variables: seniority, role, honorifics, public/private setting, group harmony. Ambiguity triggers: whether informality was explicitly invited, how public the action is, whether it burdens the group. Observed norm types: formal-hierarchy, group-responsibility, harmony, honesty, indirect-feedback, obligation, overtime-presence, politeness, privacy-and-harmony, reliability, respect, respect-for-authority, responsiveness, restoring-harmony, team-bonding, turn-taking."
PROFILE_KOREA,country_profile,,,Korea,,,,,"age/status hierarchy, politeness, responsiveness, and maintaining respectful relationships",age; status; politeness level; responsiveness; public image,,,,,,"Country/cultural context profile: Korea. General orientation: age/status hierarchy, politeness, responsiveness, and maintaining respectful relationships. Common domains in this corpus: communication, family, friendship. Relevant social variables: age, status, politeness level, responsiveness, public image. Ambiguity triggers: relative age/status, whether criticism is public, whether delay signals disrespect. Observed norm types: elder-respect, hierarchy-and-politeness, responsiveness."
PROFILE_MEXICO,country_profile,,,Mexico,,,,,"relationship closeness, family/social warmth, and respect for personal trust",closeness; trust; family/social ties; privacy; warmth,,,,,,"Country/cultural context profile: Mexico. General orientation: relationship closeness, family/social warmth, and respect for personal trust. Common domains in this corpus: privacy. Relevant social variables: closeness, trust, family/social ties, privacy, warmth. Ambiguity triggers: whether closeness justifies asking, whether the topic is private, whether consent is implied. Observed norm types: relationship-closeness."
PROFILE_NETHERLANDS,country_profile,,,Netherlands,,,,,"direct discussion, egalitarian workplace norms, and frank but constructive disagreement",directness; egalitarianism; constructiveness; public setting; role,,,,,,"Country/cultural context profile: Netherlands. General orientation: direct discussion, egalitarian workplace norms, and frank but constructive disagreement. Common domains in this corpus: workplace. Relevant social variables: directness, egalitarianism, constructiveness, public setting, role. Ambiguity triggers: whether challenge is constructive, whether timing is appropriate, whether hierarchy is still relevant. Observed norm types: direct-discussion."
